gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
COL6A2	3.072124146	4.83780505	7.501410948	1.490337658	4.796808604	2.019181825	7.76905186	7.524246021	3.178373503	3.503900778	3.735922368	4.085919981	2.707483651	3.280233602	5.690991083	7.645011686	9.683967075	2.398594118	4.819019937	4.873648917	6.089260921	7.776757303
MAP1B	7.122786242	6.605172411	8.868990797	8.331653876	8.436695489	9.466374443	11.97993993	8.591752758	7.186665612	8.677555968	6.926581148	7.590598729	6.380289144	7.215707339	10.17257101	9.314955098	10.52277725	8.871361686	12.43791802	6.523280794	4.647949368	6.729701145
LIMCH1	7.886362488	4.857972255	8.324673824	8.790473967	7.080537595	12.76591745	10.1794953	9.194588064	9.187313925	11.47728446	9.214980102	10.02491277	10.05022632	10.58685896	8.97255322	9.101570949	10.4118089	7.262841905	6.140373169	8.08006288	8.38170014	5.330669521
SMURF2	10.73553522	12.98024788	13.48097501	11.56872143	14.51749508	12.18992878	11.72841198	14.25576219	13.62466995	11.60410916	15.12657881	14.23838454	14.23118491	11.70866158	11.81934179	13.57700436	12.89136449	12.11638037	11.67494581	12.70241933	12.15981383	12.52985173
IGFBP3	4.122898438	11.09762688	14.33407044	6.180975524	11.38036317	5.172135314	15.04390421	13.56890839	6.01251563	14.29027553	9.181333757	13.50936794	2.987485869	8.50824448	13.49943055	15.65841234	10.11226845	10.99340664	8.344635778	15.01432225	14.67853062	4.578574368
MT1H	8.847085935	4.97813661	12.49118646	11.96394584	12.05649958	9.683270069	13.75640822	11.02581283	14.4072864	11.3337198	13.05990389	11.84260522	13.72956052	9.836301405	11.79911747	11.46382046	9.471571248	14.96341633	13.99651126	10.60344482	7.952419567	13.83360653
ARL4C	10.1284972	10.14552299	9.940243592	8.197281098	12.18610616	10.70142166	10.73459573	11.36014876	9.109958425	6.498544849	10.98770003	10.18300253	7.650935679	10.40602879	9.454749669	9.500959217	11.24949945	10.22321953	11.96404444	10.96056681	9.747529511	13.00250991
MT1E	9.071292645	7.408711297	12.58354607	10.84842872	10.09216747	8.672581266	13.86029477	10.19102372	14.20151119	9.156658189	11.97673702	9.880647379	13.6912758	8.057315706	9.208696091	9.361336853	8.008933786	15.41174195	14.18606835	12.73680765	8.966749086	14.59008848
DCBLD2	7.21572397	11.12459338	9.139265911	11.03326979	11.9500796	9.310544755	10.157882	11.36623413	11.84017174	5.23010278	12.95890345	12.85424182	12.0213326	8.042649467	8.622228107	10.70419521	11.55963886	8.237343666	8.112066459	10.24142418	9.957760154	6.649375787
AKR1C3	5.131719865	14.58458444	11.22445554	12.58862361	8.013029018	13.25706823	12.38276698	8.603955402	7.972026937	10.10258601	10.31675704	13.93426849	4.402699304	13.38495289	12.32716031	12.77238353	11.52596369	10.65678822	5.192549888	14.76322558	14.91241248	6.487083906
TIMP3	4.396600077	6.764530889	3.97071498	10.22940239	11.79514947	6.029868834	9.153278166	8.705984748	5.010391887	8.090386991	6.338003215	7.30749934	3.243465487	7.848524506	8.878160176	8.29677586	4.36166073	14.71763991	6.193233314	6.398960707	5.673068294	6.761070811
GRAMD2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
